"rank","country","pop","imfGDP","unGDP","gdpPerCapita"
151,"Barbados",287.025,5.516,4.552793288,19217.838167407022
152,"Maldives",530.953,5.169,4.224207488,9735.32497226685
153,"Swaziland",1148.13,4.644,4.007002048,4044.8381280865405
154,"Burundi",11530.58,4.526,2.873699606,392.52145165290903
155,"Suriname",581.372,4.226,3.278445033,7269.0119235188495
156,"Sierra Leone",7813.215,3.976,3.674756785,508.8814271717852
157,"Guyana",782.7660000000001,3.911,3.436626633,4996.384615581156
158,"Liberia",4937.374,3.534,2.756817825,715.7651010435912
159,"Lesotho",2125.268,3.062,2.241017076,1440.759471276093
160,"Timor-Leste",1293.119,3.029,2.703285752,2342.3984954207617
161,"South Sudan",11062.113000000001,2.807,6.534451826,253.7489899081667
162,"Bhutan",763.092,2.8,2.212642587,3669.28234079246
163,"Djibouti",973.56,2.38,1.891520369,2444.636180615473
164,"Central African Republic",4745.185,2.334,1.81038874,491.8670188833522
165,"Cape Verde",549.935,2.099,1.638928099,3816.8147144662553
166,"Belize",390.353,1.987,1.7411,5090.264452943874
167,"San Marino",33.86,1.864,1.590761265,55050.20673360898
168,"Saint Lucia",182.79,1.825,1.397066906,9984.13479949669
169,"Guinea-Bissau",1920.922,1.728,1.122643236,899.5680199404244
170,"Antigua and Barbuda",97.118,1.693,1.460157909,17432.401820465827
171,"Seychelles",97.73899999999999,1.659,1.433826317,16973.777100236344
172,"Solomon Islands",669.823,1.463,1.133967215,2184.1590987469826
173,"Grenada",112.00299999999998,1.249,1.016208148,11151.487013740705
174,"Gambia",2347.706,1.159,0.985831536,493.67339862827793
175,"Saint Kitts and Nevis",52.823,1.024,0.90985462,19385.494954849215
176,"Vanuatu",299.882,1.024,0.83751979,3414.676439399497
177,"Samoa",197.097,0.92,0.822233281,4667.752426470215
178,"Saint Vincent and the Grenadines",110.589,0.871,0.765318745,7876.009368020327
179,"Comoros",850.8860000000001,0.781,1.149802573,917.866788265408
180,"Dominica",71.808,0.542,0.581484032,7547.9055258467015
181,"Sao Tome and Principe",215.05599999999998,0.489,0.342781695,2273.8263522059374
182,"Tonga",104.494,0.454,0.401460313,4344.747066817234
183,"Micronesia",113.815,0.342,0.329895643,3004.8763344023195
184,"Palau",18.008,0.341,0.310248,18936.028431808085
185,"Kiribati",117.60600000000001,0.22,0.173655146,1870.6528578473885
186,"Marshall Islands",58.791000000000004,0.211,0.183,3588.9847085438246
187,"Nauru",10.755999999999998,0.114,0.103469824,10598.735589438454
188,"Tuvalu",11.645999999999999,0.045,0.036697185,3863.9876352395677
189,"Andorra",77.142,0,2.858406626,37053.830935158534
190,"Anguilla",14.869000000000001,0,0.33752047,22699.607909072565
191,"Aruba",106.314,0,2.667039106,25086.433639972158
192,"Bermuda",62.506,0,6.127341,98028.04530765046
193,"British Virgin Islands",30.03,0,0.97123711,32342.228105228103
194,"Cayman Islands",64.94800000000001,0,3.844080626,59187.05157972531
195,"Cook Islands",17.548,0,0.290194195,16537.16634374288
196,"Cuba",11333.483,0,89.6887,7913.604317401809
197,"Cura̤ao",163.424,0,3.121449966,19100.31553504993
198,"North Korea",25666.161,0,16.788601831,654.1142569393218
199,"Egypt",100388.073,0,270.143813412,2690.9951086719234
200,"French Polynesia",279.28700000000003,0,5.417934152,19399.163412546946
201,"Greenland",56.672,0,2.282927882,40283.171266233774
202,"Liechtenstein",38.019,0,6.193677543,162910.05925984375
203,"Monaco",38.964,0,6.468000877,165999.4065547685
204,"Montserrat",4.989,0,0.062051375,12437.637803166968
205,"New Caledonia",282.75,0,9.445714851,33406.59540583554
206,"Pakistan",216565.318,0,282.506007859,1304.4840719094274
207,"Sint Maarten",42.388000000000005,0,1.072067039,25291.75802113806
208,"Palestine",4981.42,0,13.3971,2689.4138619108607
209,"Sudan",42813.238,0,82.887395895,1936.0225894383415
210,"Syria",17070.135,0,22.163075121,1298.353827957424
211,"Turks and Caicos Islands",38.191,0,0.917550492,24025.306800031423
